C:\Users\Sourav\AppData\Local\Programs\Python\Python35\python.exe C:/Users/Sourav/PycharmProjects/Vehicleloader/FetchingandLoading/Fetching.py
['HR-64']  NA
['HR-65']  NA
['HR-66']  NA
['HR-67']  NA
['HR-68']  NA
['HR-69']  NA
['HR-70']  Chandigarh
['HR-71']  NA
['HR-72']  NA
['HR-73']  NA
['HR-74']  NA
['HR-75']  NA
['HR-76']  NA
['HR-77']  Beri tehsil
['HR-78']  NA
['HR-79']  NA
['HR-80']  Barwala tehsil, Narnaund tehsil
['HR-81']  NA
['HR-83']  NA
['HR-85']  NA
['HR-86']  NA
['HR-88']  NA
['HR-99']  NA
['JH-01']  Ranchi / Khunti
['JH-02']  Hazaribagh / Ramgarh
['JH-03']  Daltonganj
['JH-04']  Dumka
['JH-05']  Jamshedpur
['JH-06']  Chaibasa
['JH-07']  Gumla
['JH-08']  Lohardaga
['JH-09']  Bokaro
['JH-10']  Dhanbad
['JH-11']  Giridih
['JH-12']  Koderma
['JH-13']  Chatra
['JH-14']  Garhwa
['JH-15']  Deoghar
['JH-16']  Pakur
['JH-17']  Godda
['JH-18']  Sahibganj
['JH-19']  Latehar
['JH-20']  Simdega
['JH-21']  Jamtara
['JH-22']  Saraikela-khrshawan
['JH-23']  Khunti
['JH-24']  Ramgarh
['JK-01']  Srinagar
['JK-02']  Jammu
['JK-03']  Anantnag
['JK-04']  Budgam
['JK-05']  Baramulla
['JK-06']  Doda
['JK-07']  Kargil
['JK-08']  Kathua
['JK-09']  Kupwara
['JK-10']  Leh
['JK-11']  Rajouri
['JK-12']  Poonch
['JK-13']  Pulwama
['JK-14']  Udhampur
['JK-15']  Bandipora
['JK-16']  Ganderbal
['JK-17']  Kishtwar
['JK-18']  Kulgam
['JK-19']  Ramban
['JK-20']  Reasi
['JK-21']  Samba
['JK-22']  Shopian
['JK-**-Y']  J&KSRTC Buses
['KA-01']  Bengaluru Central, Koramangala – 560034
Most KSRTC, BMTC and Government vehicles are also registered here.

['KA-02']  Bengaluru West, Rajajinagar – 560010
['KA-03']  Bengaluru East, Indiranagar – 560038
['KA-04']  Bengaluru North, Yeshwanthpur – 560022
['KA-05']  Bengaluru South, Jayanagar 4th block – 560011
['KA-06']  Tumakuru – 572101
['KA-07']  Kolar – 563101
['KA-08']  Kolar Gold Fields (KGF)
['KA-09']  Mysuru West – 570001
['KA-10']  Chamarajanagar – 571313
['KA-11']  Mandya – 571401
['KA-12']  Madikeri – 571201
['KA-13']  Hassan – 573201
['KA-14']  Shivamogga – 577201
['KA-15']  Sagara – 577401
['KA-16']  Chitradurga – 577501
['KA-17']  Davangere – 577001
['KA-18']  Chikkamagaluru – 577101
['KA-19']  Mangaluru – 575001
['KA-20']  Udupi – 576101
['KA-21']  Puttur – 574201
['KA-22']  Belagavi – 590001
['KA-23']  Chikkodi – 591201
['KA-24']  Bailhongal – 591102
['KA-25']  Dharwad – 580001
['KA-26']  Gadag – 582121
['KA-27']  Haveri – 581110
['KA-28']  Bijapur – 586101
['KA-29']  Bagalkote – 587101
